,Dependents,tenure,OnlineSecurity,OnlineBackup,InternetService,DeviceProtection,TechSupport,Contract,PaperlessBilling,MonthlyCharges,Churn,DurationOfTenure
70,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.95,Yes,< 1 Year
71,No,42,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,105.2,Yes,> 3 Years
72,Yes,6,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,26.35,No,< 1 Year
73,No,61,No,Yes,Fiber optic,No,No,Month-to-month,Yes,82.15,No,> 3 Years
74,Yes,9,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,102.6,No,< 1 Year
75,Yes,59,No,Yes,Fiber optic,Yes,No,One year,Yes,106.15,No,> 3 Years
76,Yes,51,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,23.95,No,> 3 Years
77,No,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,115.8,No,> 3 Years
78,No,67,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,19.45,No,> 3 Years
79,No,7,No,No,DSL,No,No,Month-to-month,Yes,66.85,No,< 1 Year
80,No,51,No,Yes,Fiber optic,No,No,One year,Yes,90.35,No,> 3 Years
81,No,65,Yes,Yes,Fiber optic,No,Yes,One year,Yes,89.85,No,> 3 Years
83,No,16,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.6,No,1 - 2 Years
84,No,52,Yes,No,Fiber optic,Yes,Yes,One year,Yes,104.45,No,> 3 Years
85,No,41,No,Yes,DSL,No,Yes,One year,No,35.45,No,> 3 Years
86,No,25,No,Yes,Fiber optic,Yes,No,Month-to-month,No,88.4,No,2 - 3 Years
87,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.35,No,< 1 Year
88,No,17,No,No,Fiber optic,No,No,Month-to-month,No,70.5,No,1 - 2 Years
89,No,67,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.1,No,> 3 Years
90,No,62,No,No,DSL,No,Yes,Two year,Yes,39.0,No,> 3 Years
91,No,51,Yes,Yes,DSL,Yes,Yes,Two year,Yes,83.25,No,> 3 Years
92,No,25,Yes,No,Fiber optic,No,No,Month-to-month,No,74.3,No,2 - 3 Years
93,No,66,Yes,Yes,Fiber optic,Yes,Yes,One year,No,115.8,No,> 3 Years
94,Yes,25,Yes,No,DSL,No,Yes,Month-to-month,No,54.3,No,2 - 3 Years
95,Yes,56,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.8,No,> 3 Years
96,No,14,No,Yes,DSL,No,No,Month-to-month,No,50.45,No,1 - 2 Years
97,No,1,No,Yes,Fiber optic,No,No,Month-to-month,Yes,86.0,Yes,< 1 Year
98,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.55,Yes,< 1 Year
99,No,64,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,103.5,No,> 3 Years
100,No,1,No,Yes,Fiber optic,No,Yes,Month-to-month,No,91.7,Yes,< 1 Year
101,No,43,No,No,DSL,No,Yes,One year,Yes,64.85,No,> 3 Years
102,No,71,No,Yes,Fiber optic,No,No,Month-to-month,Yes,99.65,No,> 3 Years
103,Yes,72,Yes,Yes,DSL,Yes,No,Two year,No,68.75,No,> 3 Years
104,No,65,No,Yes,Fiber optic,Yes,No,One year,Yes,106.25,Yes,> 3 Years
105,No,2,No,No,Fiber optic,No,No,Month-to-month,Yes,75.9,Yes,< 1 Year
106,No,9,No,No,Fiber optic,No,No,Month-to-month,No,94.4,Yes,< 1 Year
107,No,36,No,No,Fiber optic,No,No,Month-to-month,Yes,84.1,Yes,2 - 3 Years
108,No,18,No,No,DSL,Yes,No,Month-to-month,Yes,49.55,Yes,1 - 2 Years
109,No,41,No,No,DSL,Yes,No,One year,Yes,73.0,Yes,> 3 Years
110,No,20,No,No,Fiber optic,No,No,Month-to-month,Yes,85.25,Yes,1 - 2 Years
111,Yes,52,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.6,No,> 3 Years
112,No,1,No,Yes,Fiber optic,No,No,Month-to-month,No,74.35,No,< 1 Year
113,Yes,5,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.45,No,< 1 Year
114,No,9,No,No,Fiber optic,No,No,Month-to-month,Yes,84.45,Yes,< 1 Year
115,No,9,No,No,Fiber optic,No,No,Month-to-month,Yes,74.55,Yes,< 1 Year
116,No,2,No,Yes,DSL,No,No,Month-to-month,No,49.2,No,< 1 Year
117,No,8,No,No,DSL,Yes,Yes,Month-to-month,No,64.1,No,< 1 Year
118,Yes,50,No,Yes,Fiber optic,Yes,Yes,One year,Yes,103.4,No,> 3 Years
119,No,9,No,No,Fiber optic,Yes,No,Month-to-month,Yes,73.8,No,< 1 Year
120,No,7,No,No,Fiber optic,Yes,No,Month-to-month,Yes,74.9,No,< 1 Year
121,Yes,30,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,94.4,Yes,2 - 3 Years
122,No,2,No,No,Fiber optic,No,No,Month-to-month,No,70.75,Yes,< 1 Year
123,Yes,49,Yes,Yes,DSL,Yes,Yes,One year,Yes,87.2,No,> 3 Years
124,No,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,115.75,No,> 3 Years
125,Yes,1,Yes,No,DSL,No,Yes,Month-to-month,No,54.5,No,< 1 Year
126,No,2,No,Yes,DSL,No,No,Month-to-month,Yes,59.0,No,< 1 Year
127,Yes,41,Yes,No,DSL,Yes,No,One year,No,35.4,No,> 3 Years
128,No,60,Yes,Yes,DSL,No,Yes,Two year,Yes,61.35,No,> 3 Years
129,Yes,72,Yes,Yes,Fiber optic,Yes,No,Two year,No,109.55,No,> 3 Years
130,No,7,No,Yes,Fiber optic,No,No,Month-to-month,Yes,99.8,Yes,< 1 Year
131,No,63,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,110.1,No,> 3 Years
132,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,85.45,Yes,< 1 Year
133,No,71,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,115.15,No,> 3 Years
134,Yes,26,No,Yes,DSL,No,No,One year,Yes,39.95,No,2 - 3 Years
135,No,7,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.9,No,< 1 Year
136,No,5,Yes,No,DSL,Yes,No,Month-to-month,No,55.8,No,< 1 Year
137,No,59,No internet service,No internet service,No,No internet service,No internet service,Two year,No,24.45,No,> 3 Years
138,No,36,Yes,Yes,DSL,Yes,Yes,One year,No,85.85,No,2 - 3 Years
139,No,1,No,No,DSL,No,No,Month-to-month,Yes,36.45,Yes,< 1 Year
140,No,19,No,No,DSL,Yes,No,Month-to-month,Yes,39.65,Yes,1 - 2 Years
141,No,49,No,No,DSL,Yes,Yes,Two year,Yes,74.45,No,> 3 Years
142,Yes,35,Yes,No,DSL,No,Yes,Two year,Yes,46.35,No,2 - 3 Years
143,No,57,No,Yes,DSL,Yes,No,Two year,Yes,79.75,No,> 3 Years
144,No,60,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.0,No,> 3 Years
145,Yes,67,No,Yes,Fiber optic,No,No,Month-to-month,Yes,89.55,No,> 3 Years
146,No,59,Yes,Yes,Fiber optic,Yes,No,One year,Yes,82.95,No,> 3 Years
147,Yes,6,No,Yes,Fiber optic,No,No,Month-to-month,Yes,83.55,Yes,< 1 Year
148,Yes,72,Yes,Yes,DSL,Yes,Yes,Two year,Yes,65.25,No,> 3 Years
149,No,2,Yes,Yes,DSL,No,No,Month-to-month,Yes,42.6,Yes,< 1 Year
150,Yes,23,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.65,No,1 - 2 Years
151,No,51,No,Yes,Fiber optic,Yes,Yes,One year,Yes,111.5,No,> 3 Years
152,No,72,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,102.65,No,> 3 Years
153,Yes,15,No,No,DSL,No,No,Month-to-month,No,46.3,No,1 - 2 Years
154,Yes,65,No,Yes,DSL,Yes,Yes,Two year,Yes,84.2,No,> 3 Years
155,No,26,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,93.85,Yes,2 - 3 Years
156,Yes,58,Yes,No,DSL,Yes,Yes,Two year,No,75.8,No,> 3 Years
157,No,52,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,104.2,Yes,> 3 Years
158,Yes,61,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.1,No,> 3 Years
159,No,18,No,No,Fiber optic,No,No,Month-to-month,No,78.55,Yes,1 - 2 Years
160,No,20,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.25,No,1 - 2 Years
161,No,55,Yes,Yes,DSL,No,Yes,Two year,No,56.8,No,> 3 Years
162,Yes,72,Yes,No,DSL,Yes,Yes,Two year,No,66.85,No,> 3 Years
163,Yes,72,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.7,No,> 3 Years
164,Yes,27,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.6,No,2 - 3 Years
165,No,52,No,Yes,Fiber optic,No,Yes,Month-to-month,Yes,102.7,No,> 3 Years
166,No,44,No,Yes,DSL,Yes,No,One year,Yes,53.95,Yes,> 3 Years
167,Yes,11,No,No,Fiber optic,Yes,No,Month-to-month,Yes,78.1,No,< 1 Year
168,No,41,No,No,DSL,Yes,No,One year,Yes,51.35,No,> 3 Years
169,Yes,7,No,No,DSL,No,No,Month-to-month,No,48.8,No,< 1 Year
170,No,10,No,No,Fiber optic,No,Yes,Month-to-month,Yes,95.1,No,< 1 Year
171,No,6,Yes,No,Fiber optic,No,No,Month-to-month,Yes,85.15,Yes,< 1 Year
172,No,53,Yes,Yes,Fiber optic,No,Yes,One year,Yes,96.75,No,> 3 Years
173,No,18,No,No,Fiber optic,No,No,Month-to-month,Yes,75.6,No,1 - 2 Years
174,No,3,No,No,Fiber optic,No,No,Month-to-month,Yes,76.95,Yes,< 1 Year
175,No,9,No,No,Fiber optic,No,No,Month-to-month,Yes,88.4,No,< 1 Year
176,Yes,5,No,No,Fiber optic,No,No,Month-to-month,Yes,80.85,No,< 1 Year
177,No,18,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.0,No,1 - 2 Years
178,No,50,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,83.4,No,> 3 Years
179,No,2,No,No,DSL,No,No,Month-to-month,Yes,45.4,No,< 1 Year
180,No,44,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.5,No,> 3 Years
181,Yes,72,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.05,No,> 3 Years
182,No,64,Yes,No,Fiber optic,No,No,Month-to-month,Yes,73.55,No,> 3 Years
183,Yes,72,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,26.25,No,> 3 Years
184,No,66,No,Yes,Fiber optic,Yes,Yes,One year,Yes,110.85,Yes,> 3 Years
185,Yes,41,Yes,No,DSL,No,Yes,One year,Yes,74.7,No,> 3 Years
186,No,54,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.65,No,> 3 Years
187,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.65,No,< 1 Year
188,No,26,No,No,Fiber optic,Yes,No,Month-to-month,Yes,98.35,Yes,2 - 3 Years
189,Yes,70,Yes,No,DSL,Yes,No,Two year,No,68.95,No,> 3 Years
190,No,8,No,No,Fiber optic,Yes,No,Month-to-month,Yes,94.45,Yes,< 1 Year
191,No,16,No,No,Fiber optic,No,No,Month-to-month,Yes,84.75,Yes,1 - 2 Years
192,No,62,No,No,Fiber optic,Yes,No,One year,Yes,96.75,Yes,> 3 Years
193,No,12,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,98.1,Yes,1 - 2 Years
194,Yes,10,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,24.4,No,< 1 Year
195,Yes,7,Yes,No,DSL,No,No,Month-to-month,No,69.7,No,< 1 Year
196,No,7,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,25.05,No,< 1 Year
197,No,12,Yes,No,Fiber optic,No,No,Month-to-month,Yes,78.95,Yes,1 - 2 Years
198,No,12,No,No,DSL,Yes,Yes,Month-to-month,Yes,43.65,Yes,1 - 2 Years
199,No,28,No,No,Fiber optic,No,No,Month-to-month,Yes,80.6,No,2 - 3 Years
200,No,24,No,Yes,DSL,No,No,Month-to-month,Yes,69.45,No,2 - 3 Years
201,No,5,No,No,Fiber optic,No,No,Month-to-month,Yes,80.6,Yes,< 1 Year
202,Yes,23,No,No,DSL,No,Yes,Month-to-month,Yes,30.35,No,1 - 2 Years
203,Yes,2,No,No,DSL,No,Yes,Month-to-month,No,29.05,No,< 1 Year
204,No,18,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.1,No,1 - 2 Years
205,No,40,No,Yes,Fiber optic,No,Yes,One year,Yes,99.2,Yes,> 3 Years
206,No,17,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.15,No,1 - 2 Years
207,Yes,63,Yes,Yes,DSL,Yes,Yes,Two year,No,63.55,No,> 3 Years
208,No,11,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.55,No,< 1 Year
209,No,52,Yes,No,DSL,Yes,No,One year,No,35.45,No,> 3 Years
210,No,6,No,No,DSL,No,Yes,Month-to-month,No,50.05,No,< 1 Year
211,No,46,Yes,No,DSL,Yes,No,Two year,No,79.2,No,> 3 Years
212,No,56,No,Yes,Fiber optic,Yes,No,One year,Yes,104.75,Yes,> 3 Years
213,No,46,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,93.7,Yes,> 3 Years
214,No,1,No,No,DSL,Yes,Yes,Month-to-month,No,62.05,Yes,< 1 Year
215,No,48,No,Yes,Fiber optic,Yes,No,One year,Yes,97.05,No,> 3 Years
216,No,1,No,No,DSL,No,No,Month-to-month,Yes,45.65,Yes,< 1 Year
217,Yes,44,No,Yes,DSL,No,Yes,Month-to-month,Yes,54.9,No,> 3 Years
218,Yes,48,No internet service,No internet service,No,No internet service,No internet service,Two year,No,26.3,No,> 3 Years
219,Yes,57,No,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,95.3,No,> 3 Years
220,No,19,No,No,DSL,No,No,Month-to-month,Yes,45.0,No,1 - 2 Years
221,Yes,10,Yes,No,Fiber optic,No,No,Month-to-month,Yes,100.25,Yes,< 1 Year
222,No,40,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.6,No,> 3 Years
223,No,70,No,Yes,Fiber optic,No,Yes,One year,Yes,105.55,No,> 3 Years
224,No,35,No,No,DSL,Yes,No,Month-to-month,Yes,62.1,No,2 - 3 Years
225,Yes,18,No,No,DSL,No,No,Month-to-month,Yes,45.65,No,1 - 2 Years
226,Yes,13,No,No,DSL,No,No,One year,Yes,64.75,No,1 - 2 Years
227,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.1,No,< 1 Year
228,No,30,No,No,DSL,Yes,No,Month-to-month,Yes,50.0,No,2 - 3 Years
229,Yes,67,Yes,No,DSL,Yes,Yes,Two year,No,67.85,No,> 3 Years
230,No,24,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,89.25,No,2 - 3 Years
231,No,63,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,108.25,No,> 3 Years
232,No,16,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,93.2,Yes,1 - 2 Years
233,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.9,No,< 1 Year
234,Yes,55,No,No,Fiber optic,No,No,Two year,Yes,69.05,No,> 3 Years
235,Yes,4,No,No,Fiber optic,No,No,Month-to-month,Yes,69.55,No,< 1 Year
236,No,6,No,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,109.9,Yes,< 1 Year
237,Yes,15,No,Yes,DSL,Yes,Yes,Month-to-month,No,76.5,No,1 - 2 Years
238,No,9,No,No,Fiber optic,No,Yes,Month-to-month,Yes,95.9,No,< 1 Year
239,No,34,Yes,Yes,DSL,No,Yes,One year,Yes,64.4,Yes,2 - 3 Years
240,No,71,No,Yes,DSL,No,No,Two year,No,49.35,Yes,> 3 Years
241,No,37,Yes,No,DSL,No,No,One year,No,64.65,No,> 3 Years
242,No,31,No,No,Fiber optic,Yes,No,Month-to-month,No,88.65,No,2 - 3 Years
243,No,10,No,No,Fiber optic,No,No,Month-to-month,No,85.55,Yes,< 1 Year
244,Yes,67,No internet service,No internet service,No,No internet service,No internet service,Two year,No,26.3,No,> 3 Years
245,Yes,14,No,No,Fiber optic,Yes,No,Month-to-month,Yes,87.25,Yes,1 - 2 Years
246,No,15,Yes,No,DSL,Yes,Yes,Month-to-month,No,58.95,No,1 - 2 Years
247,Yes,24,Yes,Yes,DSL,No,No,One year,No,78.4,No,2 - 3 Years
248,No,9,No,No,DSL,No,Yes,Month-to-month,No,40.65,Yes,< 1 Year
249,No,7,No,No,Fiber optic,No,No,Month-to-month,Yes,86.8,Yes,< 1 Year
250,Yes,35,Yes,Yes,DSL,Yes,Yes,Two year,Yes,69.15,No,2 - 3 Years
251,Yes,52,Yes,Yes,DSL,Yes,No,Two year,No,79.2,No,> 3 Years
252,Yes,67,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.8,No,> 3 Years
253,Yes,13,No,No,Fiber optic,No,No,Month-to-month,Yes,78.3,No,1 - 2 Years
254,No,19,Yes,No,DSL,Yes,No,Month-to-month,No,66.4,No,1 - 2 Years
255,Yes,55,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.5,No,> 3 Years
256,No,53,No,No,Fiber optic,No,No,One year,Yes,95.85,No,> 3 Years
257,No,52,No,Yes,Fiber optic,No,No,One year,Yes,80.2,No,> 3 Years
258,Yes,48,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.95,No,> 3 Years
259,No,26,No,No,DSL,Yes,Yes,Month-to-month,Yes,44.45,No,2 - 3 Years
260,No,39,No,No,Fiber optic,Yes,Yes,Two year,Yes,80.45,Yes,> 3 Years
261,No,31,Yes,No,Fiber optic,No,No,Month-to-month,No,89.45,No,2 - 3 Years
262,Yes,55,No,Yes,Fiber optic,Yes,Yes,One year,Yes,103.7,No,> 3 Years
263,No,7,No,Yes,DSL,No,No,Month-to-month,Yes,40.1,Yes,< 1 Year
264,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,74.45,Yes,< 1 Year
265,Yes,2,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.85,Yes,< 1 Year
266,No,72,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.4,No,> 3 Years
267,No,70,Yes,No,Fiber optic,No,No,Month-to-month,Yes,90.85,No,> 3 Years
268,No,31,No,No,Fiber optic,Yes,Yes,Two year,No,99.45,No,2 - 3 Years
269,No,29,No,No,Fiber optic,Yes,No,Month-to-month,Yes,98.6,Yes,2 - 3 Years
270,No,4,Yes,No,Fiber optic,No,No,Month-to-month,No,75.35,No,< 1 Year
271,No,9,Yes,No,DSL,No,No,Month-to-month,No,54.55,Yes,< 1 Year
272,No,32,No,No,Fiber optic,Yes,No,Month-to-month,No,79.3,No,2 - 3 Years
273,Yes,22,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.15,No,1 - 2 Years
274,No,3,No,No,Fiber optic,Yes,No,Month-to-month,Yes,100.95,Yes,< 1 Year
275,Yes,32,No,Yes,DSL,Yes,Yes,One year,No,83.7,No,2 - 3 Years
276,No,32,No,Yes,Fiber optic,No,No,Month-to-month,Yes,98.85,No,2 - 3 Years
277,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,18.85,No,< 1 Year
278,No,7,No,No,DSL,No,No,Month-to-month,Yes,44.25,No,< 1 Year
279,Yes,70,Yes,Yes,DSL,Yes,Yes,Two year,No,80.7,No,> 3 Years
280,No,45,No,No,Fiber optic,Yes,No,Month-to-month,Yes,89.3,No,> 3 Years
281,No,72,No,No,Fiber optic,Yes,No,Two year,Yes,97.85,No,> 3 Years
282,No,3,No,No,DSL,No,No,Month-to-month,Yes,55.3,Yes,< 1 Year
283,No,2,Yes,No,DSL,No,No,Month-to-month,Yes,62.15,No,< 1 Year
284,No,27,Yes,No,DSL,No,No,One year,No,48.7,No,2 - 3 Years
285,Yes,45,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.2,No,> 3 Years
286,Yes,1,No,No,Fiber optic,No,No,Month-to-month,Yes,69.1,Yes,< 1 Year
287,No,34,Yes,Yes,Fiber optic,Yes,Yes,One year,No,116.25,No,2 - 3 Years
288,No,22,No internet service,No internet service,No,No internet service,No internet service,Two year,No,26.25,No,1 - 2 Years
289,No,46,No,No,DSL,Yes,Yes,One year,Yes,69.1,No,> 3 Years
290,Yes,60,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.65,No,> 3 Years
291,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.9,Yes,< 1 Year
292,Yes,70,Yes,No,DSL,Yes,Yes,Two year,No,59.5,No,> 3 Years
